system,RB,RB2,XB,XB2,VB,VB2,PB,PB2,EB,EB2,NB,NB2,RA,IA,VA,PA,EA,NA,RX,XX,VX,PX,EX,AX,NX,BEAX,BEBX,BEB2X,Bandgap
Li2NaYF6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-4.55891026,-6.98499023,5.0544
Li2LiYF6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,0.9,5.410080009,1,24.33,1.656720003,3,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-5.73747418,-5.73747418,-6.98499023,5.3126
Rb2CsYF6,1.81,1.04,0.79,1.22,1,3,59.42,22.7,0.795600001,4.416880007,55,39,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-4.699781335,-6.98499023,5.3425
Na2LiYF6,0.9,1.04,0.98,1.22,1,3,24.33,22.7,1.656720003,4.416880007,3,39,1.16,5.156320008,1,24.11,1.118000002,11,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.55891026,-5.73747418,-6.98499023,5.4257
K2RbYF6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-4.393533774,-6.98499023,5.5469
Rb2NaYF6,1.16,1.04,0.93,1.22,1,3,24.11,22.7,1.118000002,4.416880007,11,39,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-4.55891026,-6.98499023,6.4712
Rb2RbYF6,1.66,1.04,0.82,1.22,1,3,47.24,22.7,0.841360001,4.416880007,37,39,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-4.393533774,-6.98499023,5.7743
Li2KYI6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,0.9,5.410080009,1,24.33,1.656720003,3,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.689630919,-3.276070522,-3.75412371,2.347
Na2KYI6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,1.16,5.156320008,1,24.11,1.118000002,11,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.154280889,-3.276070522,-3.75412371,2.3723
K2KYI6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,1.52,4.355520007,1,43.06,0.925600001,19,1.273333333,2.66,7,4.7,1.110272802,3.0590368,53,-3.276070522,-3.276070522,-3.75412371,3.1848
Cs2KYF6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,1.81,3.907280006,1,59.42,0.795600001,55,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.699781335,-4.540020928,-6.98499023,6.4726
Rb2KYF6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,1.66,4.191200007,1,47.24,0.841360001,37,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.393533774,-4.540020928,-6.98499023,6.0117
K2KYF6,1.52,1.04,0.82,1.22,1,3,43.06,22.7,0.925600001,4.416880007,19,39,1.52,4.355520007,1,43.06,0.925600001,19,0.705,3.98,7,0.557,0.825084001,3.4011897,9,-4.540020928,-4.540020928,-6.98499023,5.8006
Li2CuYCl6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,0.9,5.410080009,1,24.33,1.656720003,3,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.684686849,-3.638107435,-5.206296412,1.4271
Li2CuYBr6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,0.9,5.410080009,1,24.33,1.656720003,3,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-4.273256801,-3.401724661,-4.561803061,1.4795
Na2CuYCl6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.16,5.156320008,1,24.11,1.118000002,11,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.955721302,-3.638107435,-5.206296412,1.5248
Na2CuYBr6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.16,5.156320008,1,24.11,1.118000002,11,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.629490255,-3.401724661,-4.561803061,1.56
Cs2CuYBr6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.81,3.907280006,1,59.42,0.795600001,55,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.864613159,-3.401724661,-4.561803061,2.0653
K2CuYBr6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.52,4.355520007,1,43.06,0.925600001,19,0.8825,2.96,7,3.05,1.163240002,3.3635882,35,-3.709164607,-3.401724661,-4.561803061,2.1194
K2CuYCl6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.52,4.355520007,1,43.06,0.925600001,19,0.78,3.16,7,2.18,1.261540802,3.612725,17,-3.99502,-3.638107435,-5.206296412,2.3787
Cs2CuYCl6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.81,3.907280006,1,59.42,0.795600001,55,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.169720578,-3.638107435,-5.206296412,2.3917
Rb2CuYCl6,0.82,1.04,1.9,1.22,11,3,6.2,22.7,3.508960006,4.416880007,29,39,1.66,4.191200007,1,47.24,0.841360001,37,0.78,3.16,7,2.18,1.261540802,3.612725,17,-4.016865235,-3.638107435,-5.206296412,2.4383
